Longitude,Latitude
-9.706667,31.492778
-9.699642,31.132714
-9.650000,31.183333
-9.348889,30.600556
-8.956944,31.113056
-7.757500,31.340278
-6.822500,31.890278
-6.775278,32.152222
-6.574722,32.821667
-6.299722,33.642778
-5.428889,35.489444
-5.283333,35.000000
-5.270833,35.251667
-5.214167,35.300556
-5.183333,35.516667
-5.166667,35.383333
-5.033333,35.216667
-4.981667,35.172500
-4.350000,36.733333
-4.310194,33.771111
-4.225175,33.640522
-3.410556,35.188333
-2.742778,34.966667
-1.605000,35.196694
-1.182944,34.748194
-0.840000,37.590000
-0.732611,35.653278
-0.597778,35.131944
1.326306,36.525806
2.554722,36.574333
2.755472,36.414667
3.938694,36.644558
4.266556,36.371333
10.133333,36.383333
10.333333,36.716667
14.366667,35.950000
