Pop.,Tetra1,Tetra2,Tetra4,Tetra15,Tetra19,Tetra29,Tetra49
1,167167,262262,124124,248248,166175,242242,265271
1,167179,262262,124124,248248,172172,242242,263263
1,170179,262262,121124,235248,166175,210220,263263
1,179179,262271,124124,248248,175175,229232,263279
1,167179,262262,124124,235248,166175,210210,263265
1,167179,262262,124124,248248,166166,242242,263265
1,179182,262262,124124,248248,172175,242242,263263
1,167179,262262,124124,248248,172172,242242,263263
1,179179,273279,124124,248248,172175,220232,265265
1,167179,262262,124124,248248,175175,242242,265265
1,179179,265274,124127,248248,169169,232232,263263
2,167179,265271,124127,248256,175175,229229,271276
2,167179,265274,127127,248248,172172,229229,265271
2,167179,265274,124127,248256,175175,229232,271276
2,179179,265271,127127,248256,175175,229232,265271
2,167167,271271,127127,248256,172172,232232,271271
2,167179,265265,124127,248256,175175,229232,271276
2,167179,271271,127127,248256,172172,229229,265271
2,167167,271274,127127,256256,175175,229229,265276
2,179182,265271,127127,248256,175175,229229,265271
2,167179,271271,127127,248256,172172,229232,265271
2,167182,271274,127127,248248,172172,229232,271271
2,167179,265274,127127,248256,172172,229229,265276
2,179179,265265,127127,248248,175175,232232,271271
2,167179,265271,127127,248248,175175,232232,265265
3,179179,273273,124124,248248,172172,217239,260260
3,170179,265273,124124,248248,175175,217220,260263
3,179182,265315,121124,248248,175175,182236,263265
3,179182,265315,121124,248248,175175,182236,263265
3,179179,265274,124124,256256,172172,245257,260263
3,170179,265279,124124,248248,175175,226226,265273
3,179188,265306,124124,248248,175175,220220,260268
3,179179,262262,124124,248248,175175,191226,260279
3,179182,253306,124124,248248,166166,220236,265271
3,179179,265306,124124,248248,166166,242242,268271
3,179179,258273,124124,248256,175175,229236,263265
3,170179,273273,124124,248248,172172,191220,263271
4,179179,265273,124124,248248,175175,239239,260271
4,179182,262271,124124,256256,172172,207220,260260
4,179179,262273,124124,248248,166175,207207,265265
4,170182,262273,124124,248256,172172,191207,260260
4,179179,265273,124124,248248,175175,232232,263263
4,179182,262265,124124,248248,175175,232232,263263
4,179182,265273,124124,248248,166166,226226,260263
4,179182,273276,124124,248248,175175,200200,260260
4,182182,253265,124124,256256,166166,217229,263263
4,179179,265271,124124,248248,175175,226226,263265
4,182182,274278,124124,248248,172172,226239,263263
5,170179,265265,124124,248248,166166,182204,263263
5,179185,265271,124124,248248,175175,232232,271279
5,179179,262262,124124,248256,172172,220239,263263
5,179179,262271,124124,248248,175175,217217,263273
5,182182,273275,124124,248248,172172,220220,263263
